Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,1,3,1480,3232270666,1514,225,1500,6,443,60846,0,0,0,0,16,3232270833,6,443,443,1514,1514,1514,1514.0,1514.0,0.0,-3.0,0.0,1514.0,1514.0,0.0,1480,1480,1480,1480.0,1480.0,0.0,-3.0,0.0,1480.0,1480.0,0.0,1633531651.728651,0.0,0.0
1,1,0,0,1,1,3,453,3232270666,487,225,473,6,443,60846,0,0,0,0,16,3232270833,6,443,443,2001,487,1514,1000.5,1000.5,0.0,-2.0,263682.25,1257.25,743.75,513.5,1933,453,1480,966.5,966.5,0.0,-2.0,263682.25,1223.25,709.75,513.5,1633531651.728711,5.984306335449219e-05,5.984306335449219e-05
2,1,0,0,1,3,1,32,753364417,66,64,52,6,60846,443,0,0,0,0,17,3232270833,6,443,443,2067,66,1514,487.0,689.0,0.461583454535897,-1.5000000000000002,369852.6666666667,1000.5,276.5,724.0,1965,32,1480,453.0,655.0,0.461583454535897,-1.5000000000000002,369852.6666666667,966.5,242.5,724.0,1633531651.735952,0.0072410106658935,0.007300853729247992
3,1,0,0,1,3,1,32,753364417,66,64,52,6,60846,443,0,0,0,0,17,3232270833,6,443,443,2133,66,1514,276.5,533.25,0.8918972078461396,-0.9192343932977542,350163.6875,743.75,66.0,677.75,1997,32,1480,242.5,499.25,0.8918972078461396,-0.9192343932977542,350163.6875,709.75,32.0,677.75,1633531651.740804,0.0048520565032958,0.012152910232543793
4,1,0,0,1,1,3,370,3232270666,404,225,390,6,443,60846,0,0,0,0,17,3232270833,6,443,443,2537,66,1514,404.0,507.4,1.1261387245130132,-0.2424982516826959,282803.84,487.0,66.0,421.0,2367,32,1480,370.0,473.4,1.1261387245130132,-0.2424982516826959,282803.84,453.0,32.0,421.0,1633531651.821271,0.0804669857025146,0.0926198959350584
5,1,0,0,1,3,1,32,753364417,66,64,52,6,60846,443,0,0,0,0,17,3232270833,6,443,443,2603,66,1514,235.0,433.8333333333333,1.375126068267368,0.4195665874330339,262730.1388888889,466.25,66.0,400.25,2399,32,1480,201.0,399.8333333333333,1.375126068267368,0.4195665874330339,262730.1388888889,432.25,32.0,400.25,1633531651.823724,0.0024530887603759,0.09507298469543429
6,1,0,0,1,2,1,1480,910799056,1514,64,1500,6,39081,443,0,0,0,0,18,3232270833,6,443,443,4117,66,1514,404.0,588.1428571428571,0.7376193629783273,-1.2138025876109275,368065.8367346939,1000.5,66.0,934.5,3879,32,1480,370.0,554.1428571428571,0.7376193629783273,-1.2138025876109275,368065.8367346939,966.5,32.0,934.5,1633531651.857012,0.0332880020141601,0.1283609867095944
7,1,0,0,1,2,1,841,910799056,875,64,861,6,39081,443,0,0,0,0,18,3232270833,6,443,443,4992,66,1514,445.5,624.0,0.5849011197578518,-1.2295138518188042,331057.75,1034.75,66.0,968.75,4720,32,1480,411.5,590.0,0.5849011197578518,-1.2295138518188042,331057.75,1000.75,32.0,968.75,1633531651.857637,0.0006248950958251,0.1289858818054195
8,0,1,0,0,3,1,61,3232270593,95,64,81,17,56217,53,1,0,0,0,18,3232270833,6,443,443,5087,66,1514,404.0,565.2222222222222,0.7640685956552759,-0.9994655826611648,321912.1728395062,875.0,66.0,809.0,4781,32,1480,370.0,531.2222222222222,0.7640685956552759,-0.9994655826611648,321912.1728395062,841.0,32.0,809.0,1633531651.869013,0.011376142501831,0.1403620243072505
9,0,1,0,0,1,3,77,3232270666,111,128,97,17,53,56217,2,0,0,0,18,3232270833,6,443,443,5198,66,1514,257.5,519.8,0.924960708412984,-0.7296246082773452,308289.56,778.0,73.25,704.75,4858,32,1480,223.5,485.8,0.9249607084129836,-0.7296246082773452,308289.56,744.0,39.25,704.75,1633531651.902129,0.0331158638000488,0.1734778881072993
10,1,0,0,1,3,1,40,586564996,74,64,60,6,49328,443,2,0,0,0,19,3232270833,6,443,443,5272,66,1514,111.0,479.27272727272725,1.0644594544952293,-0.4471002500605121,296687.8347107438,681.0,70.0,611.0,4898,32,1480,77.0,445.27272727272725,1.0644594544952293,-0.4471002500605121,296687.8347107438,647.0,36.0,611.0,1633531651.90746,0.0053310394287109,0.17880892753601021
11,1,0,0,1,1,2,32,3232270666,66,223,52,6,443,39081,2,0,0,0,19,3232270833,6,443,443,5338,66,1514,103.0,444.8333333333333,1.1914708864231724,-0.151770984190072,285010.63888888893,584.0,66.0,518.0,4930,32,1480,69.0,410.8333333333333,1.1914708864231724,-0.151770984190072,285010.63888888893,550.0,32.0,518.0,1633531651.955153,0.0476930141448974,0.22650194168090762
12,1,0,0,1,1,2,683,3232270666,717,223,703,6,443,39081,2,0,0,0,19,3232270833,6,443,443,6055,66,1514,111.0,465.7692307692308,1.0936857592565603,-0.2149385645300658,268346.48520710063,717.0,66.0,651.0,5613,32,1480,77.0,431.7692307692308,1.0936857592565603,-0.2149385645300658,268346.48520710063,683.0,32.0,651.0,1633531651.981329,0.0261759757995605,0.25267791748046814
13,1,0,0,1,1,2,66,3232270666,100,223,86,6,443,39081,2,0,0,0,19,3232270833,6,443,443,6155,66,1514,105.5,439.6428571428572,1.2046999727176684,0.0477273306429979,258052.51530612248,659.5,68.0,591.5,5679,32,1480,71.5,405.6428571428572,1.2046999727176684,0.0477273306429979,258052.51530612248,625.5,34.0,591.5,1633531651.981396,6.699562072753906e-05,0.2527449131011957
14,1,0,0,1,2,1,32,910799056,66,64,52,6,39081,443,2,0,0,0,19,3232270833,6,443,443,6221,66,1514,100.0,414.73333333333335,1.3042601187537814,0.3081207435404614,249535.79555555552,602.0,66.0,536.0,5711,32,1480,66.0,380.73333333333335,1.3042601187537814,0.3081207435404614,249535.79555555552,568.0,32.0,536.0,1633531651.987697,0.006300926208496,0.25904583930969166
15,1,0,0,1,1,3,40,3232270666,74,222,60,6,443,49328,2,0,0,0,19,3232270833,6,443,443,6295,66,1514,97.5,393.4375,1.3997034601841487,0.5782937242022488,240742.49609375,544.5,66.0,478.5,5751,32,1480,63.5,359.4375,1.3997034601841487,0.5782937242022488,240742.49609375,510.5,32.0,478.5,1633531652.006356,0.0186591148376464,0.2777049541473381
